movieId,imdbId,tmdbId,Average_rating,release_years,awards_won,bo_collection,duration
43,114272,35196.0,3.625,1957,0,98093,71
44,113855,9312.0,2.6973684210526314,1945,8,58753,106
45,114681,577.0,3.5232558139534884,1956,4,73731,102
46,113347,11861.0,3.1666666666666665,1955,5,66809,121
47,114369,807.0,4.034825870646766,1913,6,80836,108
48,114148,10530.0,2.9262295081967213,1971,4,51568,77
49,114916,8391.0,4.0,1968,6,74154,85
50,114814,629.0,4.370646766169155,1953,2,76420,63
52,113819,11448.0,3.637254901960784,1927,2,76996,92
53,110299,49133.0,5.0,1987,2,74278,86
54,112499,26441.0,3.6666666666666665,1902,9,79590,79
55,113158,97406.0,3.333333333333333,1922,1,81025,68
57,113321,9089.0,3.142857142857143,1920,0,88008,105
58,110877,11010.0,4.0,1916,5,78319,92
59,112714,99040.0,4.0,1947,2,70438,128
60,113419,11359.0,2.828125,1961,7,97825,67
61,116260,17182.0,3.571428571428572,1972,4,84004,86
62,113862,2054.0,3.689655172413793,1966,8,91208,101
63,116126,10607.0,2.833333333333333,1980,7,74252,115
64,118002,19760.0,2.4,1914,9,65169,127
65,115683,9536.0,2.025,1966,5,60997,85
66,116839,11525.0,2.0,1921,8,99822,69
68,113149,4482.0,3.5,1924,4,88299,70
69,113118,10634.0,3.8181818181818175,1983,8,73983,102
70,116367,755.0,3.020833333333333,1983,0,93686,74
71,113010,11859.0,2.4285714285714284,1962,2,57711,111
72,113537,28387.0,3.1666666666666665,1960,0,97913,77
73,113828,48750.0,4.115384615384615,1924,1,95231,71
74,115644,20927.0,3.026315789473684,1957,2,76656,114
76,114367,9102.0,3.333333333333333,1904,1,69317,73
77,113973,124626.0,4.0,1940,3,96356,91
78,112744,27526.0,3.2,1900,8,99768,88
79,116731,9623.0,2.9615384615384617,1955,5,55733,115
80,112445,46785.0,4.625,1934,5,83484,108
81,114660,400.0,3.25,1931,8,85191,123
82,112379,880.0,3.8,1970,1,52510,125
83,114039,146599.0,3.0,1984,5,81308,70
84,113612,188588.0,4.0,2010,0,80722,72
85,112365,8447.0,4.0625,1999,2,62744,99
86,118158,10534.0,3.764705882352941,1910,1,78299,83
87,116151,17414.0,1.6666666666666667,1921,6,88841,90
88,115697,13997.0,2.891304347826087,1948,6,77732,65
89,113972,2086.0,3.4411764705882355,1952,3,83969,101
92,117002,9095.0,3.5416666666666665,2000,0,63408,90
93,114825,12158.0,2.227272727272727,1990,8,74598,127
94,115639,9283.0,3.5681818181818183,1943,3,83399,122
95,115759,9208.0,3.177419354838709,2019,5,62783,60
96,113403,40154.0,1.0,1960,1,61231,80
97,113247,406.0,3.875,1983,8,51151,109
98,111173,45549.0,3.0,1962,2,50637,115
99,113283,63076.0,2.75,1910,1,83226,81
100,115907,11062.0,3.4285714285714284,1945,1,98459,65
101,115734,13685.0,3.882352941176471,1975,0,74422,74
102,117102,47475.0,2.590909090909091,1968,0,75143,67
103,118040,2045.0,4.0,1958,5,66033,97
104,116483,9614.0,3.292553191489361,1920,1,87705,119
105,112579,688.0,3.114583333333333,1983,4,74463,93
107,117110,10874.0,3.462962962962963,1976,7,61587,100
108,112646,89333.0,4.0,1980,6,72193,73
110,112573,197.0,3.945175438596491,1994,1,57612,129
111,75314,103.0,4.22457627118644,1998,5,95186,83
112,113326,33542.0,3.295918367346939,1987,0,89792,88
113,115645,43566.0,3.2,1906,2,58608,72
114,113774,71754.0,3.0,1981,4,69895,128
116,112373,51352.0,4.75,1981,2,95692,98
117,115033,16934.0,3.0,1996,7,80473,87
118,116606,10324.0,2.8,1915,1,70267,64
119,114536,78406.0,3.0,2007,3,51642,111
121,106473,32119.0,3.8,1949,2,74483,72
122,103859,11066.0,3.0526315789473686,1963,0,99256,89
123,109424,11104.0,4.0,2016,1,56133,87
124,114808,37975.0,3.0,1925,1,91576,71
125,116324,2074.0,3.7142857142857135,2011,8,91383,61
126,110647,27793.0,2.7,1927,6,97116,78
129,114131,110972.0,3.0,1993,8,55100,88
130,112364,32622.0,4.5,1995,0,92207,114
131,113107,73067.0,2.0,1905,3,82901,82
132,113451,11863.0,2.875,1945,7,90937,108
135,116130,9101.0,3.0,1933,8,58665,106
137,113756,5757.0,1.0,1913,5,66446,121
140,118055,9302.0,3.4782608695652173,1914,7,51883,106
141,115685,11000.0,3.5806451612903225,1936,7,82623,65
144,112585,16388.0,3.326923076923077,1959,5,79265,81
145,112442,9737.0,3.2790697674418605,1963,9,82133,69
146,112342,30765.0,4.333333333333333,1950,5,95539,72
147,112461,10474.0,3.642857142857143,1912,1,61772,88
148,112427,22279.0,4.0,1958,1,56763,78
149,109093,30157.0,4.333333333333333,2010,7,97874,98
150,112384,568.0,3.9025,1926,9,53583,124
151,114287,11780.0,3.5625,1965,1,75627,100
152,112288,34996.0,3.8333333333333335,1999,4,60176,99
153,112462,414.0,2.7829457364341086,1917,4,65093,105
154,61395,649.0,3.8125,1920,0,70429,67
155,112495,1873.0,3.055555555555556,1954,3,62565,116
156,112541,5894.0,3.954545454545455,1953,9,85227,129
157,109370,1775.0,2.375,2018,2,75902,104
158,112642,8839.0,2.8706896551724137,1954,9,89568,82
159,112688,20649.0,3.9375,1931,4,86554,111
160,112715,10329.0,2.3412698412698414,2004,7,66824,91
161,112740,8963.0,3.83125,1918,3,69402,91
162,109508,26564.0,4.136363636363637,1998,1,69397,88
163,112851,8068.0,3.515873015873016,1919,2,74114,89
164,112857,8512.0,3.5576923076923075,1935,0,81692,83
165,112864,1572.0,3.443661971830986,1940,3,69728,111
166,112887,13552.0,3.0,1941,0,50634,102
167,113044,259209.0,4.0,1944,4,93459,90
168,113071,6520.0,3.116279069767442,1978,2,86154,97
169,113114,9073.0,2.5625,1952,2,54998,123
170,113243,10428.0,3.2884615384615383,1972,7,99962,60
171,113464,17447.0,4.333333333333333,1940,2,85416,82
172,113481,9886.0,2.5729166666666665,1916,6,69308,75
173,113492,9482.0,2.5642857142857145,1912,9,59970,92
174,113500,19326.0,2.25,1943,8,64140,61
175,113540,9344.0,3.9565217391304346,2007,4,54507,109
176,113677,9071.0,3.7777777777777777,1992,8,88848,83
177,113690,8973.0,2.8846153846153846,1972,7,96899,82
178,107447,15730.0,4.7,2017,3,92711,98
179,113729,47608.0,3.5,1990,3,60888,82
180,113749,2293.0,3.3068181818181817,1920,8,87635,70
181,113820,9070.0,1.8,1939,0,75867,71
183,110604,48787.0,5.0,1924,4,69423,73
184,110620,34574.0,4.5,1909,1,51673,107
185,113957,1642.0,3.1029411764705883,2016,0,76697,100
186,113986,11472.0,2.875,1913,7,57834,68
187,114095,36196.0,2.833333333333333,2017,4,74693,71
188,114194,11980.0,3.125,1998,2,69671,115
189,114241,58372.0,4.0,1990,2,56701,93
190,114323,32646.0,3.8333333333333335,1984,7,84079,116
191,114345,10533.0,3.0,1990,8,71063,102
193,114436,10802.0,2.3142857142857145,1958,9,76449,109
194,114478,10149.0,4.291666666666667,1996,9,90947,69
195,114496,18402.0,3.2142857142857144,2008,7,63630,94
196,114508,9348.0,2.809090909090909,1925,8,66736,116
198,114558,281.0,3.441860465116279,1985,1,55709,93
199,58450,5967.0,3.333333333333333,1922,3,69583,123
200,114666,79593.0,4.0,1921,8,63828,115
201,114663,47939.0,4.0,1997,2,63638,104
202,114702,36834.0,3.0,1977,7,99591,64
203,114682,9090.0,3.3043478260869565,1984,6,69659,91
204,114781,3512.0,3.0,2019,3,96453,67
205,114798,52856.0,4.0,1921,9,85190,127
206,114805,77350.0,3.6,1924,4,61540,126
207,114887,9560.0,3.375,1978,4,74693,123
208,114898,9804.0,2.752212389380531,1964,5,93112,118
209,114928,31611.0,2.6,1908,4,75872,106
211,109340,49805.0,3.333333333333333,1966,6,73563,104
213,111579,50797.0,4.222222222222222,2000,9,84980,78
214,110882,19155.0,3.0,1978,8,81460,94
215,112471,76.0,3.7222222222222223,1910,1,73287,85
216,112508,11017.0,3.023809523809524,2000,6,93566,89
217,112438,37141.0,2.7142857142857144,1944,9,99483,96
218,112571,9382.0,3.333333333333333,2009,2,56952,99
219,112757,6715.0,4.25,1913,3,74297,77
220,112643,18256.0,3.0,2010,2,72834,100
222,112679,22625.0,3.9318181818181817,1978,8,63049,106
223,109445,2292.0,3.963302752293578,1980,3,95276,89
224,112883,1909.0,3.6,1937,9,77959,67
225,109635,8984.0,3.173076923076923,1911,0,50675,118
227,109676,4954.0,3.15625,1966,3,83589,104
228,112854,62488.0,2.0,1936,9,99647,114
229,109579,10531.0,4.083333333333333,1956,5,77551,122
230,109642,11929.0,3.7,2013,4,53418,91
231,109686,8467.0,3.1107594936708862,1901,5,87634,116
232,111797,10451.0,4.208333333333333,1989,1,75543,68
233,109759,20156.0,4.269230769230769,1948,1,96703,127
234,109758,18395.0,2.75,1935,8,68875,114
235,109707,522.0,3.9038461538461537,2007,7,97626,87
236,113117,397.0,3.3583333333333334,1918,9,78097,89
237,113097,10525.0,3.1911764705882355,1961,5,88481,82
238,113028,27985.0,3.0,1979,8,98925,75
239,113198,15789.0,2.933333333333333,1979,6,59196,112
240,113303,27303.0,3.4,2016,3,92018,84
241,113089,21183.0,3.5,1917,6,60626,76
242,109771,10954.0,3.75,1962,4,75075,107
243,113199,47867.0,4.0,1921,2,69898,93
244,113234,43475.0,3.0,1986,3,80230,116
245,109906,72031.0,3.0,1986,0,52277,120
246,110057,14275.0,4.040983606557377,1933,9,91698,82
247,110005,1024.0,3.651162790697674,1952,1,50181,121
248,110066,17207.0,3.1538461538461537,1999,3,66390,82
249,110116,13701.0,3.375,1989,3,68660,77
250,110006,14819.0,3.25,1907,3,64517,92
251,113360,32631.0,3.0,2010,1,97762,86
252,110099,11777.0,3.0609756097560976,1937,8,63064,113
253,110148,628.0,3.396,1906,8,69247,79
254,113463,87729.0,3.0,1990,9,66336,121
255,110189,18713.0,2.2,1930,4,71993,99
256,110216,6280.0,2.702380952380953,1936,3,97551,91
257,113501,9061.0,3.576923076923077,1990,5,95776,114
258,113538,37108.0,2.5,2015,9,89675,115
259,113552,6071.0,3.7,1950,3,70864,68
260,76759,11.0,4.221649484536083,1971,5,50736,61
261,110367,9587.0,3.715686274509804,1952,0,83336,88
262,113670,19101.0,3.85,2008,9,86609,86
263,110296,49980.0,3.0,1956,5,93255,106
264,109731,17961.0,4.5,2008,9,80784,96
265,103994,18183.0,3.879032258064516,1995,8,69378,64
266,110322,4476.0,3.4863013698630136,1951,6,99676,100
267,110443,11008.0,2.730769230769231,1969,9,56725,108
268,110365,47504.0,4.25,1966,0,54964,71
269,107566,32325.0,3.6666666666666665,1932,7,73524,64
270,110391,43742.0,3.2222222222222223,1947,0,87718,109
271,113691,28313.0,3.5,2012,2,59296,80
272,110428,11318.0,4.0,1966,6,75861,103
273,109836,3036.0,3.1296296296296298,2008,9,76003,129
274,113755,40490.0,2.6666666666666665,1944,3,74482,71
275,110538,24070.0,2.8,1977,4,80811,127
276,110516,8986.0,2.863636363636364,1980,6,92902,72
277,110527,10510.0,3.357142857142857,1972,5,87102,71
278,113808,17402.0,3.0,1989,8,94430,96
279,113896,38722.0,2.875,1988,4,96794,102
280,113870,8438.0,4.113636363636363,2007,8,71300,116
281,110684,11593.0,3.861111111111111,1925,2,97526,109
282,110638,1945.0,3.284090909090909,1960,7,74981,119
283,113967,39310.0,3.0,1938,9,80579,106
285,106402,56428.0,4.0,1975,2,75113,119
287,110671,131957.0,3.2,1922,2,70283,121
288,110632,241.0,3.336448598130841,1912,1,68379,91
289,110737,9058.0,3.4642857142857144,2004,1,74461,66
290,110729,527.0,3.9375,1972,4,65991,129
291,114151,18220.0,2.0,1996,2,83672,85
292,114069,6950.0,3.309090909090909,1990,6,76076,115
293,110413,101.0,4.071969696969697,1991,1,58767,68
294,114113,63020.0,3.333333333333333,2004,3,92053,122
295,114210,2307.0,3.0,1914,8,81782,79
296,110912,680.0,4.256172839506172,1977,2,97482,88
299,110889,40156.0,3.75,1965,0,57057,128
300,110932,11450.0,3.75,1932,8,68752,87
301,114129,30304.0,5.0,1949,9,78274,121
302,110963,10452.0,3.7142857142857135,2001,4,96717,73
303,114214,12106.0,3.1875,1949,4,86574,95
304,114296,161495.0,3.333333333333333,1927,6,80295,63
305,110907,3586.0,2.75,1938,8,50386,119
306,111495,110.0,4.171875,2007,8,97562,111
307,108394,108.0,4.145161290322581,1998,8,97418,90
308,111507,109.0,4.159090909090909,1922,7,82678,75
309,110769,159185.0,5.0,1973,9,59720,129
312,114571,28033.0,3.6,1935,0,66655,94
313,111333,22586.0,2.7142857142857144,1936,4,84519,71
314,111112,14334.0,3.941176470588236,2004,9,75286,76
315,111255,2636.0,2.909090909090909,1976,6,80370,102
316,111282,2164.0,3.3689655172413797,2009,1,55069,79
317,111070,11395.0,2.9642857142857144,1944,8,86964,101
318,111161,278.0,4.487138263665595,1962,4,75502,84
319,111149,9905.0,3.973684210526316,1924,4,72380,88
320,108260,87078.0,2.75,1935,6,50579,66
321,106966,12527.0,3.642857142857143,1965,8,78879,107
322,114594,20306.0,3.642857142857143,1991,1,85435,84
324,111309,36614.0,3.333333333333333,2017,7,65839,103
325,113936,27993.0,3.0,2006,6,87181,128
326,110081,31439.0,4.071428571428571,1902,7,78651,109
327,114614,9067.0,2.75,1971,3,78568,85
328,114608,9059.0,3.625,1901,7,56153,62
329,111280,193.0,3.3508771929824563,1913,6,51512,96
330,114609,25066.0,2.7,1936,5,64988,129
331,111454,46797.0,3.0,1937,5,88694,111
332,114852,12122.0,3.2,1904,4,67503,103
333,114694,11381.0,3.32,1944,4,60515,95
334,111590,32636.0,3.071428571428572,1958,5,55012,75
335,114788,36141.0,3.0,1968,0,81304,86
336,114888,95963.0,3.0,1958,1,78026,81
337,108550,1587.0,3.7954545454545454,1989,7,55440,112
338,114857,9271.0,2.8,1994,2,67060,123
339,114924,2064.0,3.4405940594059405,1988,1,78207,129
340,111667,19855.0,3.0,1998,7,94048,127
341,109655,60855.0,4.5,1927,3,55344,125
342,110598,236.0,3.4375,1954,3,92367,101
343,112435,48287.0,3.0,1948,3,99332,112
344,109040,3049.0,2.8714285714285714,1927,6,78570,116
345,109045,2759.0,3.75,1948,2,78787,121
346,106339,12635.0,3.0,1941,7,70560,86
347,104779,10497.0,3.857142857142857,2005,0,82234,108
348,109348,11382.0,3.9375,1919,3,72892,82
349,109444,9331.0,3.7869565217391306,1912,1,77964,65
350,109446,10731.0,3.3285714285714287,1929,9,86949,110
351,109484,10464.0,3.1923076923076925,1943,7,86738,122
352,109504,34152.0,3.357142857142857,1940,6,67193,82
353,109506,9495.0,3.58955223880597,1943,2,63938,87
354,109450,29973.0,3.5,1991,4,70956,86
355,109813,888.0,2.2051282051282053,1914,3,57731,125
356,109830,13.0,4.05425219941349,1934,8,52263,116
357,109831,712.0,3.6844262295081966,1977,3,62485,121
358,113305,16295.0,2.4285714285714284,1901,2,84087,63
360,110093,10879.0,2.5,1921,2,70319,103
361,110167,10660.0,3.38,1961,6,71964,87
362,110213,10714.0,3.45,1918,2,87719,108
363,107472,41647.0,4.5,1950,8,59552,88
364,110357,8587.0,3.7775,1905,4,95183,63
365,107426,1689.0,3.0,1955,2,50135,124
366,111686,11596.0,3.272727272727273,1961,8,50829,128
367,110475,854.0,3.070063694267516,2001,2,50088,78
368,110478,9359.0,3.535211267605634,1958,5,54621,79
369,110588,23333.0,3.055555555555556,2012,3,67115,82
370,110622,36593.0,3.0522388059701493,1967,5,70394,122
371,110771,12280.0,3.25,1924,6,96941,95
372,110950,2788.0,3.0588235294117645,1929,0,54325,106
373,105226,10427.0,4.138888888888889,1963,9,54939,121
374,110989,11011.0,2.1,1910,8,94160,128
375,111054,49803.0,3.6666666666666665,1969,9,83469,74
376,110997,8987.0,3.425531914893617,1941,8,63500,113
377,111257,1637.0,3.566666666666667,1961,6,87537,63
378,111256,15128.0,3.25,1968,3,65130,120
379,111438,8831.0,3.261904761904762,1994,7,73418,111
380,111503,36955.0,3.515151515151515,1922,7,83610,65
381,111693,10449.0,3.1379310344827585,2005,0,98779,71
382,111742,10395.0,3.1052631578947367,1922,3,87240,81
383,111756,12160.0,3.1153846153846154,1989,5,98122,121
384,112443,40480.0,3.25,1922,4,80300,126
387,110399,26352.0,3.6666666666666665,1999,2,96908,110
388,112570,39953.0,3.6666666666666665,2015,3,63210,116
389,109454,41580.0,4.0,1920,3,93551,117
390,59170,315.0,4.1,1949,4,55597,126
391,110186,22067.0,3.0,1952,9,93266,97
392,108069,18242.0,2.6666666666666665,1950,4,92641,97
393,111301,11667.0,2.1,1973,1,55954,89
401,113827,226229.0,4.0,1928,1,68661,64
405,110027,8011.0,2.3125,1969,4,72803,90
407,113409,2654.0,3.05,1928,8,75635,95
408,109021,18069.0,3.0,1907,3,51241,98
409,109035,19092.0,2.5,1926,1,63453,101
410,106220,2758.0,3.150684931506849,2002,8,92695,82
412,106226,10436.0,3.54,1969,2,78973,109
413,109068,13595.0,2.3076923076923075,2000,8,59019,103
414,109067,46094.0,2.5,1948,0,92535,129
415,106292,9409.0,2.833333333333333,1938,4,79590,99
416,109198,11853.0,3.25,1985,4,55960,125
417,109219,16771.0,3.615384615384616,1935,1,65584,122
418,106379,46924.0,3.0,1983,0,56854,95
419,106400,11041.0,2.6,1964,4,51488,65
420,109254,306.0,2.631578947368421,1990,2,72149,111
421,109279,14522.0,3.0,1985,8,67073,83
422,109297,26203.0,3.7222222222222223,1948,2,74993,116
423,109303,178.0,3.392857142857143,1977,0,80805,85
424,109305,19819.0,3.0,1934,7,89226,115
425,109306,57834.0,3.875,1972,0,62644,63
426,106452,4722.0,3.1666666666666665,2018,0,75005,75
427,106471,18215.0,2.4285714285714284,1997,3,50988,93
428,106489,1607.0,3.717391304347826,2012,2,55703,83
429,109361,26391.0,2.555555555555556,1970,8,90812,103
431,106519,6075.0,3.671875,2017,9,94740,110
432,109439,11310.0,2.6507936507936507,2015,6,66469,95
433,109443,18658.0,2.857142857142857,1940,2,86677,125
434,106582,9350.0,3.0849056603773586,1917,3,95650,88
435,106598,9612.0,2.463636363636364,1912,0,58605,113
436,109456,2124.0,2.2,1990,4,53059,92
437,109480,26261.0,2.75,1926,8,50335,111
438,109493,19176.0,3.0,1909,3,92326,81
439,106660,49299.0,1.0,1938,0,55675,95
440,106673,11566.0,3.561111111111111,2007,1,94905,76
441,106677,9571.0,3.6621621621621614,1939,6,74327,115
442,106697,9739.0,2.968421052631579,1921,3,95460,67
443,109729,24257.0,2.6666666666666665,1915,4,57896,94
444,106834,34444.0,3.0,1937,0,57909,69
445,106873,26141.0,3.111111111111111,1990,4,66086,94
446,106332,10997.0,4.0,1998,9,98994,119
447,109783,50463.0,4.0,1939,7,85114,72
448,106881,10443.0,3.590909090909091,1915,5,99033,89
449,106880,20239.0,3.5,1928,3,82781,105
450,111732,16297.0,3.4375,2008,0,93207,92
451,106926,18551.0,3.4285714285714284,2007,1,63993,65
452,111712,25440.0,4.0,1919,0,56870,106
453,106941,9024.0,2.4,1993,6,71158,101
454,106918,37233.0,3.4727272727272727,1976,0,73908,93
455,106965,1634.0,2.838709677419355,1944,9,93321,124
456,109842,13815.0,3.333333333333333,2005,5,52222,87
457,106977,5503.0,3.953051643192489,1976,1,83869,95
458,107004,35588.0,3.75,1965,9,69383,124
459,109890,2087.0,3.5,1901,1,84605,126
460,109891,41579.0,2.5,1907,1,82248,99
461,109913,18620.0,3.3,1981,4,64496,90
463,107057,4916.0,3.4285714285714284,1934,5,78735,119
464,107076,2019.0,3.111111111111111,1939,0,72786,60
465,107096,31642.0,3.5,1907,8,53470,102
466,107144,9255.0,3.169491525423729,2002,5,86411,116
467,113674,26271.0,3.333333333333333,1987,8,80366,73
468,112966,10612.0,3.303030303030303,2015,4,60844,105
469,107151,2259.0,3.125,1980,5,82211,102
470,110064,16097.0,2.0,1961,8,72281,92
471,110074,11934.0,3.877551020408163,1923,8,99528,70
472,110097,106143.0,3.5,1985,3,65611,69
473,110123,12475.0,1.0,2019,6,96528,125
474,107206,9386.0,3.8625,2001,8,91313,78
475,107207,7984.0,4.209677419354839,1971,2,81774,107
476,110137,59930.0,4.0,1915,8,67261,64
477,108551,15765.0,3.59375,1989,8,96159,116
479,107286,6.0,3.25,1962,0,73898,91
480,107290,329.0,3.706204379562044,1969,4,75948,69
481,107302,10909.0,3.34375,2017,0,84019,79
482,110265,507.0,2.85,1976,7,97640,74
483,107322,34024.0,2.75,1929,5,90913,71
484,110305,29918.0,2.75,2012,2,51986,113
485,107362,9593.0,2.8867924528301887,1939,1,81413,95
486,107413,42580.0,2.5,1991,2,52373,110
487,110353,22317.0,3.5,1968,0,86350,64
488,107468,1413.0,3.125,1994,9,58583,108
489,107478,12121.0,2.625,1959,0,53660,93
490,107497,2246.0,3.4285714285714284,2018,0,50373,96
491,107501,10502.0,3.2857142857142856,1914,1,97726,60
492,107507,10440.0,3.738095238095238,1944,8,59385,76
493,107554,9516.0,3.3043478260869565,1954,9,61309,82
494,116253,2320.0,3.4754098360655736,1985,8,71861,112
495,74102,5879.0,3.8125,1938,9,75287,103
496,111689,83718.0,2.6666666666666665,1937,5,61191,89
497,107616,11971.0,3.983333333333333,1923,9,99802,105
498,107611,2625.0,2.6666666666666665,1944,6,90159,105
499,107613,31911.0,3.0,1965,2,77126,89
500,107614,788.0,3.4673202614379086,1993,5,55527,75
501,107653,21450.0,4.1,1919,2,85729,71
502,110657,11231.0,2.4375,1939,1,55232,97
504,110678,10447.0,3.2,2014,1,86476,104
505,110687,31586.0,2.7142857142857144,2009,8,53588,113
506,107756,9300.0,3.111111111111111,1974,9,72871,85
507,107808,9559.0,3.5,1983,3,61340,60
508,107818,9800.0,3.668604651162791,1935,1,74015,105
509,107822,713.0,3.75,2013,2,72419,109
510,107840,8291.0,2.3,1989,5,87501,66
511,107889,18133.0,3.0,1958,1,95248,68
512,111003,25557.0,3.5,1976,6,91512,112
513,110939,22588.0,2.5,1966,7,54640,67
514,110955,10872.0,3.647058823529412,1925,5,64683,94
515,107943,1245.0,4.043478260869565,1910,3,90611,78
516,110971,11858.0,2.923076923076923,1960,2,87490,114
517,107969,7007.0,3.09375,1963,1,85027,95
518,111001,10467.0,2.136363636363636,1935,4,88964,110
519,107978,5550.0,2.395833333333333,2014,0,51481,77
520,107977,8005.0,3.0615384615384613,2005,6,52876,124
521,107983,2088.0,3.6,1963,4,93323,89
522,105275,10412.0,2.833333333333333,1922,5,63736,60
523,108000,47889.0,3.333333333333333,1988,6,78267,106
524,108002,14534.0,3.555555555555556,1937,1,97714,81
526,105032,41878.0,1.0,1932,8,99279,87
527,108052,424.0,4.30327868852459,1954,1,96604,103
528,111094,35233.0,2.5,1968,6,51049,120
529,108065,14291.0,3.933333333333333,1990,1,88707,101
531,108071,11236.0,3.564516129032258,1979,7,69904,103
532,111127,11592.0,3.25,1983,8,76002,121
533,111143,8850.0,3.333333333333333,1965,9,69940,68
534,108101,10445.0,4.2,1917,8,88453,98
535,108122,695.0,3.8846153846153846,2017,4,86320,83
536,111194,43535.0,2.25,1961,6,66706,100
537,111201,12519.0,3.05,1940,2,50792,119
538,108149,23210.0,3.9,1945,4,87880,60
539,108160,858.0,3.428,1990,0,53862,61
540,108162,867.0,2.6944444444444446,1935,5,81959,128
541,83658,78.0,4.037671232876712,1902,2,72506,126
542,108186,13203.0,2.736842105263158,2014,4,57902,69
543,108174,10442.0,3.3461538461538463,1939,3,52576,109
544,108238,11074.0,2.611111111111111,1955,2,74837,105
546,108255,9607.0,1.7352941176470589,1924,0,53077,128
547,111323,17585.0,3.0,1911,5,84798,92
548,111400,9057.0,3.0,1933,7,61128,92
549,108328,20967.0,4.125,2005,9,91353,90
550,111418,10635.0,3.272727272727273,1902,2,95957,103
551,107688,9479.0,3.65,1954,1,91896,69
552,108333,10057.0,3.14,2018,2,55848,101
553,108358,11969.0,3.482456140350877,2000,4,59473,97
554,111488,41590.0,3.0,1954,3,58955,113
555,108399,319.0,3.8857142857142857,1945,3,94668,115
556,108515,26408.0,3.9,1905,5,92623,89
558,110763,15139.0,2.6666666666666665,1974,6,50710,100
559,107779,161158.0,5.0,1993,3,52582,67
561,110259,85247.0,3.0,1997,4,59775,106
562,114906,11446.0,3.716666666666667,2010,4,88205,110
563,107002,51980.0,3.0,2010,5,53404,101
564,109403,24405.0,3.0,1943,4,72317,74
565,104029,11655.0,4.5,1955,4,54832,116
567,107315,8223.0,4.0,1975,9,50283,91
568,106408,14587.0,3.5,2017,2,70527,117
569,110363,31504.0,2.5,1973,7,69590,101
571,111709,53185.0,4.0,1995,9,76079,75
573,107225,23637.0,1.0,1930,0,79994,116
574,111252,17600.0,3.333333333333333,1932,4,86721,107
575,110366,10897.0,3.571428571428572,1956,0,58294,91
577,109120,21352.0,2.0,1992,9,50423,67
580,110892,37345.0,3.0,1999,0,85464,74
581,112651,32562.0,4.235294117647059,1987,1,66100,67
582,107642,47507.0,4.0,1996,8,67461,101
585,112572,9066.0,3.073170731707317,2016,4,58217,99
586,99785,771.0,3.112403100775194,1952,3,83730,104
587,99653,251.0,3.3253968253968256,1914,0,64889,108
588,103639,812.0,3.674418604651162,1953,5,84542,91
589,103064,280.0,4.006329113924051,1977,6,79284,84
590,99348,581.0,3.717821782178218,1936,6,70584,110
592,96895,268.0,3.397959183673469,1960,7,86405,100
593,102926,274.0,4.1381578947368425,1917,1,62057,88
594,29583,408.0,3.661971830985916,1943,0,60702,118
595,101414,10020.0,3.75,1943,2,58492,120
596,32910,10895.0,3.583333333333333,1975,6,93217,109
